Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
,,,,,4235,5.0,5,,,,,,
,,,,,4239,4.0,4,,,,,,
,,,,,4243,4.0,4,,,,,,
,,,,,4248,5.0,5,,,,,,
,,,,,4253,5.0,5,,,,,,
,,,,,4257,4.0,4,,,,,,
,,,,,4267,10.0,10,,,,,,
,,,,,4272,5.0,5,,,,,,
,,,,,4275,3.0,3,,,,,,
,,,,,4279,4.0,4,,,,,,
,,,,,4283,4.0,4,,,,,,
,,,,,4286,3.0,3,,,,,,
,,,,,4291,5.0,5,,,,,,
,,,,,4296,5.0,5,,,,,,
,,,,,4301,5.0,5,,,,,,
,,,,,4311,10.0,10,,,,,,
,,,,,4317,6.0,6,,,,,,
,,,,,4325,8.0,8,,,,,,
,,,,,4330,5.0,5,,,,,,
,,,,,4334,4.0,4,,,,,,
,,,,,4341,7.0,7,,,,,,
,,,,,4355,14.0,14,,,,,,
,,,,,4371,16.0,16,,,,,,
,,,,,4376,5.0,5,,,,,,
,,,,,4379,3.0,3,,,,,,
,,,,,4383,4.0,4,,,,,,
,,,,,4388,5.0,5,,,,,,
,,,,,4393,5.0,5,,,,,,
,,,,,4396,3.0,3,,,,,,
